,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0201,1.162,0.734,0.747,3.526
1,1000,0.1514,3.221,0.885,1.191,4.388
2,1500,0.5049,3.805,1.154,1.641,7.162
3,2000,1.2709,4.941,1.815,2.548,8.085
4,2500,2.6838,6.416,2.656,4.276,10.086
5,3000,5.3835,9.79,3.754,5.866,10.282
6,3500,9.7588,10.343,4.601,7.68,10.398
7,4000,18.4297,13.002,6.688,11.243,12.261
8,4500,36.2161,20.27,10.216,15.228,15.499
9,5000,48.9005,19.34,10.117,14.843,14.131
10,5500,69.8345,20.589,11.314,15.584,14.544
11,6000,96.4007,21.664,10.976,16.832,15.755
12,6500,121.9388,21.645,13.061,16.597,15.111
13,7000,165.7043,18.935,10.224,18.283,15.739
14,7500,193.5376,17.67,12.391,18.162,15.077
15,8000,264.6277,23.034,9.494,21.3,15.86
16,8500,311.5416,18.053,11.206,20.955,15.892
17,9000,395.5417,18.272,9.257,21.953,15.254
18,9500,455.0741,23.717,13.493,21.196,14.758
19,10000,572.6988,19.931,10.184,23.073,15.575
20,10500,664.2189,20.777,12.597,24.319,16.948
21,11000,777.2193,20.482,9.953,24.817,15.451
22,11500,869.1672,21.475,15.523,24.021,16.072
23,12000,1096.8113,20.375,11.321,25.935,17.748
