N;PLUTO;TRACO;3D;3D16;DAPT;
1;523.2652;1432.8344;660.1394;1061.7737;1096.3745;
2;407.4328;1031.8788;377.1773;590.0756;677.6259;
3;307.7095;741.8620;312.8828;408.8861;489.0880;
4;243.6993;575.6632;243.6982;311.7881;378.9602;
5;201.5286;461.6956;200.6371;252.3980;309.5374;
6;179.4050;368.4625;177.1432;216.6725;262.7334;
7;148.1353;326.3269;150.9342;187.5316;227.7063;
8;135.0896;326.4396;135.3014;170.0735;200.4921;
9;131.5069;285.8417;121.3998;151.5298;181.3604;
10;119.5295;254.7890;110.6093;137.0758;163.7235;
11;107.4718;219.2881;101.3054;125.2144;149.9692;
12;101.2883;198.0034;93.0908;116.1094;138.3108;
13;92.7702;225.1668;87.0439;108.9837;127.9692;
14;81.3087;191.2830;81.8871;101.3287;119.6649;
15;75.1532;186.5946;76.9689;96.5822;113.3792;
16;84.1604;185.7092;72.6328;91.9921;106.4424;
17;75.4189;175.6576;68.5615;87.5933;100.7186;
18;72.4861;167.8811;65.0878;82.4902;95.6242;
19;64.5633;149.7336;61.8587;78.6180;91.7979;
20;70.4321;137.5388;59.8573;75.3719;86.5412;
21;60.6540;130.4079;56.7696;71.9556;83.2821;
22;59.0611;132.5447;54.0717;70.1710;79.8427;
23;56.1345;132.8915;53.7117;68.1437;77.5101;
24;57.7102;128.0456;51.0662;65.7647;76.2843;
25;52.7400;122.4788;49.3738;63.3066;72.3372;
26;53.8448;113.7933;47.6335;61.4638;69.5391;
27;53.5295;109.1808;46.5606;59.7866;66.9903;
28;50.7106;105.1702;46.2889;57.7297;65.5264;
29;50.4248;110.4973;44.4376;57.0914;63.4714;
30;50.5671;106.5456;42.6857;55.6650;61.5010;
31;46.6503;103.3725;41.5151;54.4859;65.5265;
32;44.5245;103.5688;40.2997;53.5953;58.6753;
